"Id","Year","Fiscal Year","DEPARTMENT","DIVISION","SECTION","FUND TYPE","FUND GROUP","FUND NAME","EXP/REV","OJBECT CLASS","ACCOUNT CATEGORY","ACCOUNT NAME","BUDGET AMOUNT"
"1","2016","FY2015/16","Mayor/Council","Mayor Council Operations Division","Council Operations","Other Governmental Funds","Other","Interdepartmental Service Fund","Expenses","Labor and Supply Offset","Interfund Reimbursement","ICP Reimbursement DR","1262164"
"2","2015","FY2014/15","Mayor/Council","Mayor Council Operations Division","Council Operations","Other Governmental Funds","Other","Interdepartmental Service Fund","Expenses","Labor and Supply Offset","Interfund Reimbursement","ICP Reimbursement DR","1177290"
"3","2016","FY2015/16","Mayor/Council","Mayor Council Operations Division","Council Operations","General Fund","General Funds","General Fund","Expenses","Labor and Supply Offset","Interfund Reimbursement","ICP Reimbursement CR","-1262164"
"4","2015","FY2014/15","Mayor/Council","Mayor Council Operations Division","Council Operations","General Fund","General Funds","General Fund","Expenses","Labor and Supply Offset","Interfund Reimbursement","ICP Reimbursement CR","-1177290"
"5","2015","FY2014/15","Mayor/Council","Mayor Council Operations Division","City-wide Elections","General Fund","General Funds","General Fund","Expenses","Employee Services","Labor Adjustments","Base Labor Increase","66667"
"6","2015","FY2014/15","Mayor/Council","City Council District 1","Council District 1","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Worker's Compensation","1793"
"7","2016","FY2015/16","Mayor/Council","City Council District 1","Council District 1","General Fund","General Funds","General Fund","Expenses","Employee Services","Labor Adjustments","Annual Adjustments - Review","9100"
"8","2015","FY2014/15","Mayor/Council","City Council District 1","Council District 1","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Insurance Contribution","22280"
"9","2016","FY2015/16","Mayor/Council","City Council District 1","Council District 1","General Fund","General Funds","General Fund","Expenses","Employee Services","Salaries","Regular Hours","182113"
"10","2015","FY2014/15","Mayor/Council","City Council District 1","Council District 1","General Fund","General Funds","General Fund","Expenses","Employee Services","Salaries","Regular Hours","179257"
"11","2016","FY2015/16","Mayor/Council","City Council District 1","Council District 1","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","FICA - OASDI","11291"
"12","2015","FY2014/15","Mayor/Council","City Council District 1","Council District 1","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","FICA - OASDI","11114"
"13","2016","FY2015/16","Mayor/Council","City Council District 1","Council District 1","General Fund","General Funds","General Fund","Expenses","Employee Services","Labor Adjustments","Annual Adjustments - Review","-600"
"14","2015","FY2014/15","Mayor/Council","City Council District 1","Council District 1","General Fund","General Funds","General Fund","Expenses","Employee Services","Labor Adjustments","Annual Adjustments - Review","9100"
"15","2016","FY2015/16","Mayor/Council","City Council District 1","Council District 1","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","State Unemployment Insurance","630"
"16","2015","FY2014/15","Mayor/Council","City Council District 1","Council District 1","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","State Unemployment Insurance","630"
